Material ID,Composition,Band Gap,Calc Types
mp-697033,Cd2 H8 C2 N4 Cl4 O2,3.5746,"{'mp-732301': <CalcType.GGA_Static: 'GGA Static'>, 'mp-743165': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-697033': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1382018': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1674710': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1806176': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1629962': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-749742': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2170873': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2315761': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-651173,K6 W2 C8 N8 O2 F2,3.2134,"{'mp-821345': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-796448': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-651173': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-836160': <CalcType.GGA_Static: 'GGA Static'>, 'mp-837468': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1394578': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1752738': <CalcType.GGA_U_NSCF_Uniform: 'GGA+U NSCF Uniform'>, 'mp-1936307': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-838047': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-822101': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-1618651': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-2110612': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>, 'mp-2304992': <CalcType.GGA_U_NSCF_Line: 'GGA+U NSCF Line'>}"
mp-697108,K6 H2 Rh2 C10 N10 O2,3.835599999999999,"{'mp-726229': <CalcType.GGA_Static: 'GGA Static'>, 'mp-697108': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-739343': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1445632': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1742548': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1937453': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1655055': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-747154': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2099958': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2301836': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2901849': <CalcType.r2SCAN_Structure_Optimization: 'r2SCAN Structure Optimization'>}"
mp-697077,As2 H6 C2 N2 O2 F18,4.9219,"{'mp-743007': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-697077': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-731923': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1182370': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1397312': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1732066': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1839469': <CalcType.GGA_Static: 'GGA Static'>, 'mp-749729': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1628172': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2117752': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2308592': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-698396,Cu2 H8 C4 N2 Cl6 O2,0.11820000000000001,"{'mp-698396': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-740240': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-726476': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1435872': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1675014': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1841683': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1607080': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-747230': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2174956': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-2690292': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-733782,K4 C12 Se4 S12 N12 O2,0.2585,{'mp-733782': <CalcType.GGA_Static: 'GGA Static'>}
mp-730258,Cs4 Hg2 C4 S2 I8 O2,0.626,"{'mp-1191136': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-741519': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-730258': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1359498': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1867603': <CalcType.GGA_Static: 'GGA Static'>, 'mp-749168': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1223559,K1 Cr1 Cd1 C6 N6 O1,0.0,"{'mp-1223559': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-1346398': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1836901': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1180681,Os4 C32 I16 N12 O4 F4,0.1366,"{'mp-1180681': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1336257': <CalcType.GGA_Static: 'GGA Static'>}"
mp-690844,Fe2 H4 C8 N8 Cl12 O2,0.0,"{'mp-743856': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>, 'mp-690844': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1344916': <CalcType.GGA_U_Static: 'GGA+U Static'>, 'mp-1920392': <CalcType.GGA_U_Static: 'GGA+U Static'>}"
mp-1247925,As4 C4 S8 N4 O4 F32,1.2189,"{'mp-1247925': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1849926': <CalcType.GGA_Static: 'GGA Static'>}"
mp-2240035,K2 Na1 Mg1 V1 O1 F5,0.19079999999999903,{'mp-2240035': <CalcType.GGA_U_Structure_Optimization: 'GGA+U Structure Optimization'>}
mp-2240085,K2 Na1 Mg1 Ti1 O1 F5,0.0,{'mp-2240085': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>}
